NHÓM NGÀNH ;;;;;;;;;
STT;Tên NCC;Hạng mục;Website;Người liên hệ;Group Zalo;Sản phẩm NCC;Thương hiệu phân phối;Sản phẩm chi tiết;Ghi chú
1;Elite;Điện nhẹ ELV;https://elite-jsc.com/;Mr An (Sale);Elite-Easynet;"Thiết bị mạng
Máy Tính
Máy in";HPE, ARUBA, XFUSION, HUAWEI, ZYXEL, EPSON, Liebert ;"- Server, Switch, Access Point (AP), 
- Máy tính để bàn (PC), Màn hình
- Máy in, scan
- UPS Liebert";
2;Maxsell;Thiết bị CNTT và thiết bị văn phòng;;Mr Hiếu (Sale);Easynet-Maxsell;"Thiết bị văn phòng
Máy tính";"Dell
HP
Lenovo";"- Laptop
- Máy tính để bàn (PC), Màn hình
";Đại lý bán lẻ
3;Nhà An Toàn;Điện nhẹ ELV;https://nhaantoan.com/;Group Sale;Mạng Sáng Tạo - NAT;Camera & An ninh;Hikvision, HiLook, Ruijie, Aolin;"- Camera, Đầu ghi, Thẻ nhớ,
- Chuông cửa, báo động
- Máy chấm công Hikvision
- Switch, Router, Access Point";
4;FPT wifi;Điện nhẹ ELV;;Ms. Nguyễn Thịnh (Sale);FPT_cty Easynet;Thiết bị mạng;"Unifi
Aruba";Access Point (AP);
5;Istone;Thiết bị CNTT và thiết bị văn phòng;https://istone.vn/;Mr. Hải (Giám đốc);IStone - Easynet;IT - Apple;Apple ;"- Điện thoại Iphone
- Macbook
- Phụ kiện Apple";
6;Nghĩa Thư;Thiết bị CNTT và thiết bị văn phòng;https://laptopxachtay.com.vn/?srsltid=AfmBOoqzQD2DssFyvrFtd_bry339OYdFJ16cGLArwjGziP24CWFvqlfT;Group Sale;Nghĩa Thư - Easynet;Laptop, Máy tính;"Dell
HP
Lenovo";"- Laptop
- Máy tính để bàn (PC), Màn hình
- Máy tính Workstation, Server
- Máy tính mini NUC
";Chủ yếu hàng xách tay
7;TID;Điện nhẹ ELV;https://www.tid.vn/thuong-hieu;TID Tru Ngo;TID-EASYNET;"Access Control
Thiết bị mạng";"Zkteco
ARUBA";"- Máy kiểm soát cửa, chấm công
- Khóa cửa và phụ kiện
- Phần mềm chấm công
- Switch, Access Point (AP)";
8;Nguyên Kim;Thiết bị CNTT và thiết bị văn phòng;https://vitinhnguyenkim.vn/;Mr Sang 0909.465.841/0938.808.141;NGKIM - HQS_Q01_SM_MANGSANGTAO;Laptop, Máy tính, Thiết bị mạng, Thiết bị văn phòng, Thiết bị thông minh, Phần mềm;HPE,DELL,ASUS, MSI, INTEL, SAMSUNG ARUBA,TPLINK, LOGITECH ;"- Laptop
- Máy tính để bàn (PC), Màn hình
- Máy tính Workstation, Server
- Phần mềm (MS365, Bảo mật, Tường lửa,..)
- Thiết bị mạng
- Linh kiện Lap, PC";
9;Lê Hoàng - Gò Vấp;Điện nhẹ ELV;https://lehoangcctv.com/;Sale zalo;EASYNET - Lê Hoàng GV;Camera;"Hikvision
Ezviz
Hdparagon";Đại lý Camera, phụ kiện;
10;USA - Laptop;Thiết bị CNTT và thiết bị văn phòng;https://laptopusa.vn/;Mr. Thế Anh;USALAPTOP;;HPE, DELL, THINKPAD;Laptop, PC, Linh kiện máy tính;
11;Điện 18;Vật tư phụ kiện;;;EASYNET- ĐIỆN 18;;;vật tư, thiết bị điện,…;
12;Kim Phát;Vật tư phụ kiện;;Ms. Hà;KIM PHÁT - MẠNG SÁNG TẠO;;;Thiết bị quang, cáp quang;
13;VMV;Điện nhẹ ELV;https://thietbiamthanh.vn/;Mr Lĩnh 0987 873 090;TOA-BOSCH-EASYNET;Thiết bị âm thanh, Phụ kiện âm thanh;"BOSCH
DYNACORD
JBL";TOA - BOSCH, còn có Dynacord, JBL, Shure, EV;
14;QDtek;Vật tư phụ kiện;https://qdtek.vn/;;EasyNet - QDtek;;;Dây cáp mạng và phụ kiện Commscope, LS;
15;Minh Tân ACS;Điện nhẹ ELV;https://www.mayvanphongminhtan.com/;Mr Tân;Minh Tân ACS - Easynet;Máy chấm công;SEIKO, TITA, RONALD,…;Máy chấm công thẻ, vân tay, khuôn mặt, thiết bị phân biệt;
16;Điện máy số 8;Thiết bị gia dụng;;Ms.Ngân sale;Điện Máy Số Tám - EASYNET;Thiết bị gia dụng;;Tivi;
17;ADG;Vật tư phụ kiện;https://adg.vn/;Ms Cẩm 0982 461 113;ADG-EASYNET;Vật tư thi công;;Dây cáp mạng và phụ kiện Commscope;
18;An Phát;Hạ tầng CNTT;https://www.anphatpc.com.vn/;Ms Lê Chi - 0938 360 307;;Laptop, PC, Linh kiện, Thiết bị mạng;"ASUS
TPLINK
HP";"Access Point - Router - License - VigorACS & Web Content Filter & WiFi Marketing - Switch - DrayTek
Cáp, vật tư quang";
19;Cát Vạn Lợi;Cơ điện MEP;;Ms Lan;Cát Vạn Lợi-Easynet;;;Vật tư thiết bị cơ điện công nghiệp;
20;Thái Hoàng Long An;Điện nhẹ ELV;https://thaihoangec.com.vn/;;SÁNG TẠO- QUẬN 1_0983 997 986;;;Máng cáp và phụ kiện theo yêu cầu ;
21;Phúc Ngọc Anh;Thiết bị gia dụng;https://dienmayphucngocanh.com/;Ms Lan;PhucNgocAnh-EasyNet (MayLanh);Thiết bị văn phòng;TOSHIBA, LG;Máy lạnh;
22;Digiworld;Thiết bị CNTT và thiết bị văn phòng;https://digiworld.com.vn/;Mr Hiền 0364 209 218;Hiền DGW - Easynet;Laptop;;Máy tính, máy tính bảng, thiết bị VP;
23;CNET - FPT;Hạ tầng CNTT;;"Mr Thông 0976 699 232
Mr Nghĩa 0908 184 009";;;;Các sp của HP;
24;Nguyễn Giang;Điện nhẹ ELV;https://nguyengiang.vn/;Mr. Cường;NGUYEN GIANG - EASYNET;Đèn, thiết bị điện, vật tư;PANASONIC, PHILIPS;vật tư thiết bị điện, đèn chiếu sáng, ống,…;
25;TMC - cty Thắng Minh;Hạ tầng CNTT;https://www.tmcrack.vn/vn/;Ms. Cẩm ;Tủ rack TMC-KNMST;Tủ rack;TMC;Tủ rack, thanh đấu nối, patch panel,…;
